Block,Block Repeats,Stimulus,Response,Latency,Correct Response,Feedback Text,Feedback Duration,Stimulus Color,Background Color
1,1,"Flanker Task: Identify the MIDDLE arrow direction. Press Z for ← or M for →. Ignore the surrounding arrows!","z,m",5000,,,,white,black
101,8,"←←←←←","z,m",NA,z,"[correct] Correct!",300,white,black
102,8,"→→→→→","z,m",NA,m,"[correct] Correct!",300,white,black
103,8,"→→←→→","z,m",NA,z,"[correct] Correct!",300,white,black
104,8,"←←→←←","z,m",NA,m,"[correct] Correct!",300,white,black
105,8,"→←←←→","z,m",NA,z,"[correct] Correct!",300,white,black
106,8,"←→→→←","z,m",NA,m,"[correct] Correct!",300,white,black
107,8,"←←←←←","z,m",NA,z,"[correct] Correct!",300,white,black
108,8,"→→→→→","z,m",NA,m,"[correct] Correct!",300,white,black
2,1,"Flanker task complete! Thank you for your participation.",NA,3000,,,,white,black
