Block,Block Repeats,Stimulus,Response,Latency,Correct Response,Feedback Text,Feedback Duration,Stimulus Color,Background Color
1,1,"RSVP Task: Watch the rapid letter stream. Press SPACE when you see the letter X. Be ready - it goes fast!",space,5000,,,,white,black
101,1,"+",NA,500,,,100,white,black
102,3,"A",NA,100,,,100,white,black
103,3,"B",NA,100,,,100,white,black
104,3,"C",NA,100,,,100,white,black
105,3,"D",NA,100,,,100,white,black
106,3,"E",NA,100,,,100,white,black
107,3,"F",NA,100,,,100,white,black
108,3,"G",NA,100,,,100,white,black
109,3,"H",NA,100,,,100,white,black
110,2,"X",space,100,space,"[correct] Good catch!",200,red,black
111,3,"J",NA,100,,,100,white,black
112,3,"K",NA,100,,,100,white,black
113,3,"L",NA,100,,,100,white,black
114,3,"M",NA,100,,,100,white,black
115,3,"N",NA,100,,,100,white,black
2,1,"RSVP task complete! Thank you for your attention.",NA,3000,,,,white,black
