Block,Block Repeats,Stimulus,Response,Latency,Correct Response,Feedback Text,Feedback Duration,Stimulus Color,Background Color
1,1,"This is a stroop task. You will have to identify the color of the ink. Please press the keys 'r', 'y', 'g', or 'b' if the color of the ink is red, yellow, green or blue respectively.","r,g,b,y",3000,,,,white,black
101,2,red,"r,g,b,y",NA,r,"[correct] Correct!",500,red,black
102,2,red,"r,g,b,y",NA,b,"[correct] Correct!",500,blue,black
103,2,red,"r,g,b,y",NA,g,"[correct] Correct!",500,green,black
104,2,red,"r,g,b,y",NA,y,"[correct] Correct!",500,yellow,black
105,2,green,"r,g,b,y",NA,r,"[correct] Correct!",500,red,black
106,2,green,"r,g,b,y",NA,b,"[correct] Correct!",500,blue,black
107,2,green,"r,g,b,y",NA,g,"[correct] Correct!",500,green,black
108,2,green,"r,g,b,y",NA,y,"[correct] Correct!",500,yellow,black
109,2,blue,"r,g,b,y",NA,r,"[correct] Correct!",500,red,black
110,2,blue,"r,g,b,y",NA,b,"[correct] Correct!",500,blue,black
111,2,blue,"r,g,b,y",NA,g,"[correct] Correct!",500,green,black
112,2,blue,"r,g,b,y",NA,y,"[correct] Correct!",500,yellow,black
113,2,yellow,"r,g,b,y",NA,r,"[correct] Correct!",500,red,black
114,2,yellow,"r,g,b,y",NA,b,"[correct] Correct!",500,blue,black
115,2,yellow,"r,g,b,y",NA,g,"[correct] Correct!",500,green,black
116,2,yellow,"r,g,b,y",NA,y,"[correct] Correct!",500,yellow,black
2,1,Thanks for taking part!,NA,3000,,,,white,black
